msno,city,bd,gender,registered_via,registration_init_time
4De1jAxNRABoyRBDZ82U0yEmzYkqeOugRGVNIf92Xb8=,4,28,female,9,2011-09-20
HLKuo07UQnbqXHHpKMa+dJucA3CmE9nOIPQb+/Wu2Uw=,13,62,male,9,2006-09-08
c8MWafMse+6+aWZwpBddB5CQ6dH2uncxqSJX/hoj8f0=,13,25,male,9,2007-01-04
aVJWfzAkVSaB9tbgCo7yUuJeiNyPhT30UlUyQ9yBLu0=,5,26,female,9,2007-01-17
j1JIlPBogS4+McJODJjnw5fv6R5PQmHvQp1tFSS7RUY=,4,25,male,9,2007-04-07
6XcJqaYpy98XAtK9Udack6gxLYwD6WjKbqiT0tICZNU=,1,0,"",7,2014-11-08
ijkVz07l9450plH6+fZiPpZ0piHUh/90QylIi/Jm7Tw=,13,24,female,3,2014-11-14
NHZqu3wQ08n6HkCUA7rCAfE0FJzuRn/Y9B1dKyWrGuc=,15,27,female,3,2014-11-18
9euOuYPfLofHY2GmqCoXHwyee67otNqIFKPk6EGxQv0=,12,25,male,9,2007-08-03
wkx2o8MLssx8QcOar039TRSONnZgeDbgxB9GcFcl85c=,1,20,female,3,2014-11-24
GHY92j5HxeUQ2q/QY8Uh0EGzkkI5ZXq/0KBeHtnEG2o=,4,38,female,3,2014-12-02
NZJ+5T9ftX/xmhtwFH7G+bnMq6soN3TG6S4jN6u86I0=,12,77,female,9,2011-01-21
EVQWih4dylUdqLO9FPUrddorJN5CRLZRVxDBKsM+RbE=,4,0,"",9,2011-02-17
+Z4CrAsvFdoAkjMn8ScuwAbECCWsJwctGLd65WOwj/I=,5,36,male,4,2016-12-30
cm9pxjiKCZi7E5BgkvUoA2hSA0iEtLSnaJn2cU8yVyA=,1,32,female,3,2017-01-15
VN8bLlK9s9VDhZ6M7RGKDHuqYQSSy+0Y2HRWynd3Ino=,5,47,female,7,2014-04-26
DothDjbzf5SsT8vHMu5xFaLX34pVxfDQiHGYF7pb10I=,1,0,"",7,2016-07-16
hj5PUObI1Xfp8377IrAf4M3SaYRrZRrd3XVyyQPCdYc=,1,0,"",4,2016-07-24
jtsgYg2S8wH8tQdsnY6aIQmVbS5A35e86a+IVbSZgAw=,1,0,"",4,2016-08-02
8lbrpSJAgW5WjAe3RPOGW/iomliGiEQhsb1zqu/yOk8=,1,0,"",9,2016-10-15
AFeoZ6qbBz/+YhkrDp+wGmFtQldDo6MWVUu4mk5/zOo=,1,0,"",13,2016-10-24
l80yUvyyw7K8P53Pc5mmmqgygbsAcfuYiCYktZlxEiA=,5,26,male,9,2010-03-29
09hDuS3G9XSQf9zKMxl9P+y8P/RGii6DnWX1cYruv6s=,1,0,"",7,2011-03-27
pr9E93iIwzzcQlXatxidHAQ7uwEiEjB6k3TtAYi3TyI=,5,46,female,7,2012-02-02
